id,created_at,text
854539491046031361,2017-04-19 03:37:45,b'@roser1dozer @shannoncoulter @amazonecho Love love love the Echo dot I bought for Christmas!'
854539315971448832,2017-04-19 03:37:04,"b'Amazon announces new Alexa Skill Builder (Beta), a Tool for Creating #AmazonEcho Skills for natural dialogs #bots https://t.co/b0q1bigOdz'"
854538910524874753,2017-04-19 03:35:27,"b""@gingerrox @amazonecho That's the Skills folks, but I can pass on the love \xe2\x9d\xa4\xef\xb8\x8f!"""
854531010687578114,2017-04-19 03:04:04,"b""RT @alexaskillstore: Corny Dad: Use Corny Dad to hear a random, corny joke, your father would say. Try it out, it's\xe2\x80\xa6 https://t.co/Gs3Cnp5D2\xe2\x80\xa6"""
854530130697256960,2017-04-19 03:00:34,"b""Corny Dad: Use Corny Dad to hear a random, corny joke, your father would say. Try it out, it's\xe2\x80\xa6 https://t.co/Gs3Cnp5D2o #Alexa #AmazonEcho"""
854529998442647552,2017-04-19 03:00:02,b'RT @GeberConsulting: This is how big the market for Voice AI will be by 2020 https://t.co/FW5cs8hbGl #amazonecho #AI https://t.co/QYNQB9o1Ws'
854529489371529216,2017-04-19 02:58:01,b'This is how big the market for Voice AI will be by 2020 https://t.co/FW5cs8hbGl #amazonecho #AI https://t.co/QYNQB9o1Ws'
854520983939633152,2017-04-19 02:24:13,"b""RT @roser1dozer: @amazonecho No, get rid of all Trump products. It's getting easier not to shop with you #GrabYourWallet"""
854519646317273089,2017-04-19 02:18:54,b'@amazonecho That is an expensive pizza.'
854519576842915840,2017-04-19 02:18:37,"b'RT @amazonecho: Try the new and improved Jeopardy! skill for Alexa. Just say \xe2\x80\x9cAlexa, play Jeopardy!\xe2\x80\x9d Find more skills at https://t.co/bFr0S\xe2\x80\xa6'"
854519500137521152,2017-04-19 02:18:19,b'RT @TastingTable: 6 reasons why you should really have an @amazonecho in your kitchen: https://t.co/y2B7JRMv0T https://t.co/LWfS5gvgF6'
854514999217315841,2017-04-19 02:00:26,b'#GoogleHome vs #AmazonTap - Comparison Test &amp; Review #alexa #amazonecho https://t.co/B1jpwCkP4Q'
